[SYNCPILOT | CPU  0] Layer 4 memproses Frame  18 | Waktu: 0.01526 detik
[SYNCPILOT | CPU 14] Layer 6 memproses Frame   9 | Waktu: 0.00870 detik
[SYNCPILOT | CPU  8] Layer 7 memproses Frame   7 | Waktu: 0.02099 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame   2 | Waktu: 0.01379 detik
[SYNCPILOT | CPU 11] Layer 6 memproses Frame   8 | Waktu: 0.00875 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame   3 | Waktu: 0.01421 detik
[SYNCPILOT | CPU 12] Layer 6 memproses Frame  17 | Waktu: 0.00873 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   5 | Waktu: 0.01398 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  15 | Waktu: 0.01353 detik
[SYNCPILOT | CPU 10] Layer 6 memproses Frame  20 | Waktu: 0.00862 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  18 | Waktu: 0.00968 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame   2 | Waktu: 0.00947 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame   3 | Waktu: 0.00943 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  15 | Waktu: 0.00947 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   5 | Waktu: 0.00949 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame  18 | Waktu: 0.00943 detik
[SYNCPILOT | CPU 13] Layer 7 memproses Frame   1 | Waktu: 0.02121 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame   3 | Waktu: 0.00956 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame   2 | Waktu: 0.00957 detik
[SYNCPILOT | CPU 14] Layer 7 memproses Frame   9 | Waktu: 0.02108 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  15 | Waktu: 0.00950 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   5 | Waktu: 0.00952 detik
[SYNCPILOT | CPU 12] Layer 7 memproses Frame  17 | Waktu: 0.02121 detik
[SYNCPILOT | CPU 11] Layer 7 memproses Frame   8 | Waktu: 0.02144 detik
[SYNCPILOT | CPU 10] Layer 7 memproses Frame  20 | Waktu: 0.02176 detik
[SYNCPILOT | CPU 16] Layer 8 memproses Frame  13 | Waktu: 0.05119 detik
[SYNCPILOT | CPU 16] Layer 1 memproses Frame  21 | Waktu: 0.00294 detik
[SYNCPILOT | CPU 19] Layer 8 memproses Frame  10 | Waktu: 0.05448 detik
[SYNCPILOT | CPU 19] Layer 1 memproses Frame  22 | Waktu: 0.00297 detik
[SYNCPILOT | CPU 17] Layer 8 memproses Frame  19 | Waktu: 0.05654 detik
[SYNCPILOT | CPU 16] Layer 2 memproses Frame  21 | Waktu: 0.00884 detik
[SYNCPILOT | CPU 17] Layer 1 memproses Frame  23 | Waktu: 0.00295 detik
[SYNCPILOT | CPU 16] Layer 3 memproses Frame  21 | Waktu: 0.00320 detik
[SYNCPILOT | CPU 18] Layer 8 memproses Frame  14 | Waktu: 0.06067 detik
[SYNCPILOT | CPU  0] Layer 7 memproses Frame  18 | Waktu: 0.03269 detik
[SYNCPILOT | CPU 16] Layer 4 memproses Frame  21 | Waktu: 0.00322 detik
[SYNCPILOT | CPU 19] Layer 2 memproses Frame  22 | Waktu: 0.00977 detik
[SYNCPILOT | CPU 18] Layer 1 memproses Frame  24 | Waktu: 0.00299 detik
[SYNCPILOT | CPU 15] Layer 8 memproses Frame  12 | Waktu: 0.06544 detik
[SYNCPILOT | CPU 16] Layer 5 memproses Frame  21 | Waktu: 0.00321 detik
[SYNCPILOT | CPU 19] Layer 3 memproses Frame  22 | Waktu: 0.00328 detik
[SYNCPILOT | CPU 17] Layer 2 memproses Frame  23 | Waktu: 0.00973 detik
[SYNCPILOT | CPU 15] Layer 1 memproses Frame  25 | Waktu: 0.00300 detik
[SYNCPILOT | CPU 16] Layer 6 memproses Frame  21 | Waktu: 0.00331 detik
[SYNCPILOT | CPU 19] Layer 4 memproses Frame  22 | Waktu: 0.00324 detik
[SYNCPILOT | CPU 17] Layer 3 memproses Frame  23 | Waktu: 0.00322 detik
[SYNCPILOT | CPU  2] Layer 7 memproses Frame   3 | Waktu: 0.04002 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   4 | Waktu: 0.06624 detik
[SYNCPILOT | CPU  3] Layer 7 memproses Frame   2 | Waktu: 0.04064 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame   5 | Waktu: 0.04047 detik
