[SYNCPILOT | CPU  4] Layer 2 memproses Frame  21 | Waktu: 0.11455 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  22 | Waktu: 0.11378 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  23 | Waktu: 0.10016 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  21 | Waktu: 0.02081 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  22 | Waktu: 0.02032 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  24 | Waktu: 0.07371 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  23 | Waktu: 0.01905 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  21 | Waktu: 0.01919 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  22 | Waktu: 0.01878 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  24 | Waktu: 0.01812 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  23 | Waktu: 0.01722 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  21 | Waktu: 0.01654 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  22 | Waktu: 0.01571 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  24 | Waktu: 0.01595 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  23 | Waktu: 0.01553 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  21 | Waktu: 0.01550 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  22 | Waktu: 0.01584 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  24 | Waktu: 0.01667 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  23 | Waktu: 0.01820 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  24 | Waktu: 0.01910 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  21 | Waktu: 0.05959 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  22 | Waktu: 0.06158 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  23 | Waktu: 0.06168 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  24 | Waktu: 0.05942 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  21 | Waktu: 0.19762 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  22 | Waktu: 0.20208 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  25 | Waktu: 0.01668 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  23 | Waktu: 0.19843 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  26 | Waktu: 0.01403 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  24 | Waktu: 0.19809 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  27 | Waktu: 0.01431 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  28 | Waktu: 0.01622 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  26 | Waktu: 0.10078 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  25 | Waktu: 0.11920 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  27 | Waktu: 0.11795 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  26 | Waktu: 0.03028 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  28 | Waktu: 0.11276 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  25 | Waktu: 0.02519 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  27 | Waktu: 0.01620 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  26 | Waktu: 0.01617 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  28 | Waktu: 0.01582 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  25 | Waktu: 0.01548 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  27 | Waktu: 0.01544 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  26 | Waktu: 0.01552 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  28 | Waktu: 0.01562 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  25 | Waktu: 0.01560 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  27 | Waktu: 0.01562 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  26 | Waktu: 0.01620 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  28 | Waktu: 0.01637 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  25 | Waktu: 0.01695 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  27 | Waktu: 0.01911 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  28 | Waktu: 0.02049 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  26 | Waktu: 0.07168 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  25 | Waktu: 0.07078 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  27 | Waktu: 0.06964 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  28 | Waktu: 0.06745 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  26 | Waktu: 0.18874 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  29 | Waktu: 0.01337 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  25 | Waktu: 0.20680 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  28 | Waktu: 0.19819 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  27 | Waktu: 0.20931 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  30 | Waktu: 0.01333 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  31 | Waktu: 0.01323 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  32 | Waktu: 0.01330 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  29 | Waktu: 0.04329 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  29 | Waktu: 0.01935 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  30 | Waktu: 0.05551 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  29 | Waktu: 0.02089 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  31 | Waktu: 0.05817 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  32 | Waktu: 0.05684 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  30 | Waktu: 0.01800 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  29 | Waktu: 0.01766 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  31 | Waktu: 0.01681 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  32 | Waktu: 0.01602 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  30 | Waktu: 0.01620 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  29 | Waktu: 0.01582 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  31 | Waktu: 0.01591 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  32 | Waktu: 0.01602 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  30 | Waktu: 0.01627 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  31 | Waktu: 0.01644 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  32 | Waktu: 0.01631 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  30 | Waktu: 0.01676 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  31 | Waktu: 0.01830 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  32 | Waktu: 0.01910 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  29 | Waktu: 0.05458 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  30 | Waktu: 0.06002 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  31 | Waktu: 0.05927 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  32 | Waktu: 0.05718 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  29 | Waktu: 0.18186 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  33 | Waktu: 0.01428 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  30 | Waktu: 0.18556 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  34 | Waktu: 0.01786 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  32 | Waktu: 0.19330 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  31 | Waktu: 0.20443 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  35 | Waktu: 0.01844 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  36 | Waktu: 0.01660 detik
