[SYNCPILOT | CPU  0] Layer 3 memproses Frame  34 | Waktu: 0.13828 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  37 | Waktu: 0.13640 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  32 | Waktu: 0.13946 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  33 | Waktu: 0.14170 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  35 | Waktu: 0.14378 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  41 | Waktu: 0.13245 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  40 | Waktu: 0.14045 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  44 | Waktu: 0.12885 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  42 | Waktu: 0.13432 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  34 | Waktu: 0.15164 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  33 | Waktu: 0.14645 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  32 | Waktu: 0.15636 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  36 | Waktu: 0.03735 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  35 | Waktu: 0.14318 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  36 | Waktu: 0.03511 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  46 | Waktu: 0.11248 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  45 | Waktu: 0.12371 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  36 | Waktu: 0.03760 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  43 | Waktu: 0.14456 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  38 | Waktu: 0.02845 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  39 | Waktu: 0.02941 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  36 | Waktu: 0.02845 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  34 | Waktu: 0.13975 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  37 | Waktu: 0.03139 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  33 | Waktu: 0.13831 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  32 | Waktu: 0.13545 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  39 | Waktu: 0.03331 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  38 | Waktu: 0.04158 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  37 | Waktu: 0.03484 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  35 | Waktu: 0.14681 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  39 | Waktu: 0.03559 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  39 | Waktu: 0.03580 detik
